condition;lambda;gen_time;temp;food
inter_20;1.00078752946406;154.979198127607;20;inter
inter_20;1.0047187200291;154.445479715684;20;inter
inter_20;1.00852351987467;159.639374755493;20;inter
inter_20;1.00086335733246;152.436603029922;20;inter
inter_20;0.997556476509511;150.053296492357;20;inter
inter_20;1.00066992330784;142.081205650972;20;inter
inter_20;1.00990131031546;155.11008297246;20;inter
inter_20;1.00221925812255;148.836995308319;20;inter
inter_20;1.01248919450413;168.518538489847;20;inter
inter_20;0.995110646461855;146.828986847856;20;inter
inter_20;1.01409365495803;162.678046010977;20;inter
inter_20;0.999516504072617;147.089734708248;20;inter
inter_20;1.00720662986426;152.215939149083;20;inter
inter_20;0.997852188137802;145.452857360564;20;inter
inter_20;1.00293396018331;150.180386112819;20;inter
inter_20;1.00174228518311;145.618545512063;20;inter
inter_20;1.00374092190599;150.339363614154;20;inter
inter_20;1.00607931848302;151.791405672076;20;inter
inter_20;1.00165552526421;148.831492979634;20;inter
inter_20;1.00996534866831;163.906518138893;20;inter
inter_20;1.00920401756883;157.046219061296;20;inter
inter_20;1.00720155905031;151.797577088771;20;inter
inter_20;1.00859325455373;157.259985633948;20;inter
inter_20;0.998658319632224;145.183254448583;20;inter
inter_20;1.00147274871446;151.672722613296;20;inter
inter_20;1.00309803585778;147.811778198404;20;inter
inter_20;1.0022947032965;151.174513712042;20;inter
inter_20;1.00355184678551;154.103232170896;20;inter
inter_20;1.01222036838207;155.498570057407;20;inter
inter_20;1.00307164472224;158.48601099624;20;inter
inter_20;0.994350811103581;145.762208215893;20;inter
inter_20;1.00087626827803;155.229902617596;20;inter
inter_20;0.998966707901379;146.974445408973;20;inter
inter_20;1.00090315510842;151.342299266799;20;inter
inter_20;1.00080692858048;144.023188851527;20;inter
inter_20;1.0009031775605;159.811323574972;20;inter
inter_20;1.00664370139467;174.416557728755;20;inter
inter_20;1.00301172561256;150.263588346998;20;inter
inter_20;1.00066335860231;151.235962701525;20;inter
inter_20;1.01409800258451;161.178889982074;20;inter
inter_20;1.00190312259757;152.023140698924;20;inter
inter_20;0.998481535829973;152.160838334783;20;inter
inter_20;1.00914789233128;153.591278232128;20;inter
inter_20;1.01482310882805;155.0379006016;20;inter
inter_20;1.0056293505247;142.690612227142;20;inter
inter_20;0.997115570105675;142.18530606341;20;inter
inter_20;0.996822383925213;149.986103582817;20;inter
inter_20;0.998375179960212;143.452240233807;20;inter
inter_20;0.99929843879108;153.163186962776;20;inter
inter_20;1.00642174351002;154.285223501777;20;inter
inter_20;1.0015444297639;145.832679615754;20;inter
inter_20;1.00819319223913;163.126476771643;20;inter
inter_20;0.998986488114066;142.831127903393;20;inter
inter_20;0.997035908973202;154.089799973393;20;inter
inter_20;1.00493822415393;156.791030759809;20;inter
inter_20;0.996706604200696;146.067771221375;20;inter
inter_20;0.997040029730047;144.91751308146;20;inter
inter_20;1.00146896971209;150.453174039992;20;inter
inter_20;0.997525216595375;141.376842529375;20;inter
inter_20;1.00484910661282;163.349986440676;20;inter
