age;condition;surv;temp;food;size;log_size;total
334;conti_20;0.702702702702703;20;Continuous;35.9732452046453;3.58277547339459;74
343;conti_20;0.689189189189189;20;Continuous;36.1884628356625;3.58874036183694;74
344;conti_20;0.675675675675676;20;Continuous;36.2114991913877;3.58937672561001;74
88;conti_20;0.986486486486487;20;Continuous;18.5949364854001;2.92288931168957;74
98;conti_20;0.972972972972973;20;Continuous;20.0781563114873;2.99963247345107;74
130;inter_30;0.925;30;Intermittent;24.0456089880025;3.17995240142086;80
158;inter_30;0.9125;30;Intermittent;26.328978583619;3.27067017988143;80
171;inter_30;0.9;30;Intermittent;27.1844748626312;3.30264603323754;80
189;inter_30;0.8875;30;Intermittent;28.1944665204589;3.33912573601112;80
202;inter_30;0.875;30;Intermittent;28.8155656958885;3.36091571668928;80
206;inter_30;0.8625;30;Intermittent;28.9904914261405;3.36696789436424;80
207;inter_30;0.85;30;Intermittent;29.0331052453727;3.36843673908737;80
214;inter_30;0.8375;30;Intermittent;29.3193900503834;3.37824907360914;80
216;inter_30;0.825;30;Intermittent;29.3974552845727;3.38090811565203;80
218;inter_30;0.8125;30;Intermittent;29.4739244299338;3.38350595483087;80
255;inter_30;0.8;30;Intermittent;30.6375638610003;3.42222683325843;80
278;inter_30;0.7875;30;Intermittent;31.1661967761463;3.43933407081169;80
307;inter_30;0.775;30;Intermittent;31.6764636176382;3.45557393248421;80
314;inter_30;0.7625;30;Intermittent;31.7783759578651;3.45878605715537;80
323;inter_30;0.75;30;Intermittent;31.8990315042301;3.46257564896095;80
82;inter_30;0.9875;30;Intermittent;18.2105812641075;2.90200281327992;80
83;inter_30;0.975;30;Intermittent;18.3639649423451;2.91039031734274;80
94;inter_30;0.9625;30;Intermittent;19.9506443149998;2.99326143930557;80
95;inter_30;0.95;30;Intermittent;20.086147831352;3.00003041486401;80
96;inter_30;0.9375;30;Intermittent;20.2202589701077;3.00668502113186;80
166;inter_20;0.962962962962963;20;Intermittent;24.814732910513;3.21143754575412;54
187;inter_20;0.944444444444444;20;Intermittent;26.5597106245012;3.27939542938703;54
231;inter_20;0.925925925925926;20;Intermittent;29.5518123223111;3.38614507267572;54
255;inter_20;0.907407407407407;20;Intermittent;30.8688877730509;3.42974880848537;54
282;inter_20;0.888888888888889;20;Intermittent;32.1328855718741;3.46987997836606;54
299;inter_20;0.87037037037037;20;Intermittent;32.8261268243112;3.49122474783458;54
309;inter_20;0.851851851851852;20;Intermittent;33.2008467866945;3.50257538122051;54
311;inter_20;0.833333333333333;20;Intermittent;33.2730247323838;3.50474700060736;54
344;inter_20;0.814814814814815;20;Intermittent;34.3426080283881;3.53638679983033;54
346;inter_20;0.796296296296296;20;Intermittent;34.4006213198237;3.53807462583903;54
98;inter_20;0.981481481481482;20;Intermittent;17.3045064473006;2.85096695586582;54
